systemstop,objectid,street,routesstpg,public_nam,point_x,point_y
3357,2943,65TH STREET,165,65th Street & Nashville,-87.78613844,41.77385614
724,2944,GRAND,65,Grand & Hoyne,-87.67950809,41.89070032
9228,2945,BELMONT,77,Belmont & Pacific (80th Avenue),-87.82638929,41.93769211
9387,2946,87TH STREET,"48,87",87th Street & Longwood,-87.67613476,41.73547262
1753,2947,MORSE,"96,155",Morse & Greenview,-87.66791571,42.00779501
6,2948,JACKSON,126,Jackson & Lotus,-87.761446,41.876513
9849,2949,DEVON,88,Devon & Overhill,-87.819091,41.996854
12225,2950,103RD STREET,106,1001 E 103rd Street,-87.59894793,41.70748636
3347,2951,65TH STREET,165,65th Street & Nottingham,-87.79818391,41.77381828
6457,2952,WENTWORTH,24,Wentworth & 60th Street,-87.630225,41.785295
6456,2953,WENTWORTH,24,Wentworth & 61st Street,-87.630177,41.782983
9110,2954,PULASKI,53,Pulaski & Wabansia,-87.726305,41.911622
14483,2955,COLUMBUS,"2,6,10,J14,26,28",1100 S Columbus (Pedestrian Underpass),-87.62035471,41.86935952
9619,2956,AUSTIN,91,Austin & Harvard/Arthington,-87.77414589,41.86916521
13020,2957,DORCHESTER,59,Dorchester & 61st Street,-87.59136359,41.784421
11800,2958,HARLEM,90,Harlem & George,-87.80646467,41.93249129
8704,2959,DAMEN,48,Damen & 86th Street,-87.672675,41.737384
6958,3002,CERMAK,"21,322",Cermak & Austin,-87.77354384,41.85091605
11930,2960,93RD STREET,"N5,95",93rd Street & Woodlawn,-87.59499288,41.72578706
4070,2961,CORTLAND,73,Cortland & Ashland,-87.66812848,41.91601775
12516,2962,ADDISON,152,Addison & St. Louis,-87.71526047,41.94646099
5649,2963,IRVING PARK,80,Irving Park & Sacramento,-87.70322088,41.95384881
14512,2964,CHICAGO,66,Chicago & Long,-87.76053449,41.89484448
12447,2965,119TH STREET,119,119th Street & Morgan,-87.64687981,41.6776699
14565,2966,DIVISION,70,Division & Leavitt,-87.68196569,41.90303499
3435,2967,63RD STREET,63,63rd Street & Indiana,-87.620534,41.780058
11312,2968,MONTROSE,78,Montrose & Austin,-87.777128,41.960289
8168,2969,47TH STREET,47,47th Street & Racine,-87.65539005,41.80866398
1990,2970,DIVISION,70,Division & Pulaski,-87.72644847,41.90259074
14764,2971,MADISON,20,Madison & Homan,-87.71073049,41.88084064
15326,2972,63RD STREET,63W,63rd Street & Central,-87.76131091,41.77799105
575,2973,CHICAGO,66,Chicago & Clark,-87.63136267,41.89653382
7687,2974,35TH STREET,"4,35",35th Street & King Drive,-87.61762453,41.8310224
10928,2975,75TH STREET,75,75th Street & Vincennes,-87.63165333,41.75805921
6344,2976,RACINE,60,Racine & Taylor,-87.65665985,41.8693069
1250,2977,FULLERTON,74,Fullerton & Kimball,-87.71186757,41.92478637
5705,2978,IRVING PARK,80,Irving Park & Elston/Monticello,-87.71896505,41.95387821
11405,2979,MONTROSE,78,Montrose & Lavergne,-87.75227526,41.96070391
2435,2980,69TH BUS BRIDGE,29,69th Red Line Station,-87.62552269,41.76884376
5678,2981,IRVING PARK,"80,X9",Irving Park & Clark,-87.6620728,41.95445298
17204,2982,47TH STREET,47,47th Street & Pulaski,-87.72388424,41.80795054
15886,2983,87TH STREET,87,87th Street Red Line Station,-87.62476573,41.7364112
